"Dept Name","Type","Type Description","County Description"
"Shelburne Fire Department","VOL","Volunteer Department","Chittenden County"
"Sheldon Fire Department","VOL","Volunteer Department","Franklin County"
"Shoreham Fire Department","VOL","Volunteer Department","Addison County"
"Shrewsbury Fire Department","VOL","Volunteer Department","Rutland County"
"South Burlington Fire Department","CAR","Career Department","Chittenden County"
"South Hero Fire Department","VOL","Volunteer Department","Grand Isle County"
"South Londonderry Fire Department","VOL","Volunteer Department","Windham County"
"South Royalton Fire Department","VOL","Volunteer Department","Windsor County"
"Springfield Fire Department","COMB","Combination","Windsor County"
"Saint Albans City Fire Department","COMB","Combination","Franklin County"
"Saint Albans Town Fire Department","VOL","Volunteer Department","Franklin County"
"Saint Johnsbury Fire Department","CAR","Career Department","Caledonia County"
"Stamford Fire Department","VOL","Volunteer Department","Bennington County"
"Starksboro Fire Department","VOL","Volunteer Department","Addison County"
"Stockbridge Fire Department","VOL","Volunteer Department","Windsor County"
"Stowe Fire Department","VOL","Volunteer Department","Lamoille County"
"Strafford Volunteer Fire Department","VOL","Volunteer Department","Orange County"
"Stratton Mountain Fire Department","VOL","Volunteer Department","Windham County"
"Sutton Fire Department","VOL","Volunteer Department","Caledonia County"
"Swanton Fire Department","VOL","Volunteer Department","Franklin County"
"Thetford Fire Department","VOL","Volunteer Department","Orange County"
"Tinmouth Fire Department","VOL","Volunteer Department","Rutland County"
"Townshend Fire Department","VOL","Volunteer Department","Windham County"
"Tri-Village Fire Department","VOL","Volunteer Department","Orange County"
"Troy Fire Department","VOL","Volunteer Department","Orleans County"
"Tunbridge Fire Department","VOL","Volunteer Department","Orange County"
"Underhill-Jericho Fire Department","VOL","Volunteer Department","Chittenden County"
"Vergennes Fire Department","VOL","Volunteer Department","Addison County"
"Vernon Fire Department","VOL","Volunteer Department","Windham County"
"Vershire Fire & Rescue Department","VOL","Volunteer Department","Orange County"
"VT ANG Fire Department","CAR","Career Department","Chittenden County"
"Waitsfield-Fayston Fire Department","VOL","Volunteer Department","Washington County"
"Walden Fire Department","VOL","Volunteer Department","Caledonia County"
"Wallingford Fire Department","VOL","Volunteer Department","Rutland County"
"Wardsboro Fire Department","VOL","Volunteer Department","Windham County"
"Warren Fire Department","VOL","Volunteer Department","Washington County"
"Washington Fire Department","VOL","Volunteer Department","Orange County"
"Waterbury Fire Department","VOL","Volunteer Department","Washington County"
"Waterford Fire Department","VOL","Volunteer Department","Caledonia County"
"Wells Fire Department","VOL","Volunteer Department","Rutland County"
"Wells River Fire Department","VOL","Volunteer Department","Orange County"
"West Burke Fire Department","VOL","Volunteer Department","Caledonia County"
"West Dover Fire Department","VOL","Volunteer Department","Windham County"
"West Dummerston Fire Department","VOL","Volunteer Department","Windham County"
"West Fairlee Fire Department","VOL","Volunteer Department","Orange County"
"West Haven Fire Department","VOL","Volunteer Department","Rutland County"
"West Newbury Fire Department","VOL","Volunteer Department","Orange County"
"West Pawlet Fire Department","VOL","Volunteer Department","Rutland County"
"West Rutland Fire Department","VOL","Volunteer Department","Rutland County"
"West Weathersfield Fire Department","VOL","Volunteer Department","Windsor County"
"West Windsor Fire Department","VOL","Volunteer Department","Windsor County"
"Westford Fire Department","VOL","Volunteer Department","Chittenden County"
"Westminster Fire Department","VOL","Volunteer Department","Windham County"
"Westmore Fire & Rescue","VOL","Volunteer Department","Orleans County"
"Weston Fire Department","VOL","Volunteer Department","Windsor County"
"Weybridge Fire Department","VOL","Volunteer Department","Addison County"
"Whiting Fire Department","VOL","Volunteer Department","Addison County"
"Whitingham Fire Department","VOL","Volunteer Department","Windham County"
"Williamstown Fire Department","VOL","Volunteer Department","Orange County"
"Williston Fire Department","CAR","Career Department","Chittenden County"
"Wilmington Fire Department","COMB","Combination","Windham County"
"Windham Fire Department","VOL","Volunteer Department","Windham County"
"Windsor Fire Department","CAR","Career Department","Windsor County"
"Winhall Fire Department","VOL","Volunteer Department","Bennington County"
"Winooski Fire Department","VOL","Volunteer Department","Chittenden County"
"Wolcott Fire Department","VOL","Volunteer Department","Lamoille County"
"Woodbury Fire Department","VOL","Volunteer Department","Washington County"
"Woodstock Fire Department","VOL","Volunteer Department","Windsor County"
"Worcester Fire Department","VOL","Volunteer Department","Washington County"
